City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saskylakh,100,RU,1566273734,62,71.97,114.09,63.46,10.65
1,alofi,75,NU,1566273734,88,-19.06,-169.92,73.4,11.41
2,rikitea,100,PF,1566273604,83,-23.12,-134.97,74.44,2.46
3,talnakh,90,RU,1566273735,93,69.49,88.39,50.0,13.42
4,busselton,0,AU,1566273735,36,-33.64,115.35,66.99,12.55
5,hobart,75,AU,1566273635,41,-42.88,147.33,60.8,17.22
6,murgab,0,TM,1566273736,43,37.5,61.97,71.6,4.7
7,qaanaaq,100,GL,1566273736,95,77.48,-69.36,36.64,1.1
8,chokurdakh,100,RU,1566273736,36,70.62,147.9,67.42,2.19
9,los llanos de aridane,90,ES,1566273736,78,28.66,-17.92,78.01,12.75
10,yellowknife,75,CA,1566273736,87,62.45,-114.38,51.8,3.36
11,sitka,100,US,1566273737,51,37.17,-99.65,82.99,11.01
12,karratha,0,AU,1566273737,15,-20.74,116.85,75.52,30.02
13,rosetta,40,EG,1566273737,74,31.4,30.42,78.8,10.29
14,ushuaia,0,AR,1566273640,74,-54.81,-68.31,35.6,3.67
15,isla mujeres,40,MX,1566273615,78,21.23,-86.73,82.4,4.7
16,port elizabeth,20,US,1566273738,94,39.31,-74.98,80.01,3.36
17,dingle,93,PH,1566273738,75,11.0,122.67,85.6,11.83
18,carutapera,0,BR,1566273738,84,-1.2,-46.02,78.22,5.82
19,kapaa,20,US,1566273738,66,22.08,-159.32,87.8,14.99
20,albany,1,US,1566273566,93,42.65,-73.75,73.99,3.36
21,dali,100,CN,1566273739,65,34.79,109.94,79.3,7.11
22,punta arenas,0,CL,1566273739,92,-53.16,-70.91,30.2,4.7
23,vostok,100,RU,1566273739,96,46.45,135.83,63.46,2.21
24,linxia,100,CN,1566273739,92,35.6,103.21,52.84,2.46
25,ende,0,ID,1566273740,69,-8.84,121.65,77.86,7.74
26,amapa,75,HN,1566273740,78,15.09,-87.97,80.6,2.24
27,souillac,0,FR,1566273740,77,45.6,-0.6,59.0,2.24
28,jamestown,56,AU,1566273444,69,-33.21,138.6,53.56,15.61
29,pacific grove,1,US,1566273741,77,36.62,-121.92,64.99,9.17
30,bethel,90,US,1566273741,71,60.79,-161.76,53.6,6.93
31,college,40,US,1566273741,44,64.86,-147.8,59.0,5.82
32,bandrele,90,YT,1566273741,78,-12.91,45.19,78.8,14.99
