City_ID,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,City_name,Cloudiness
0,56.35,82.0,14.99,2982383.0,FR,2.9,50.39,rouvroy,75.0
1,77.07,58.0,10.29,5855927.0,US,-155.08,19.71,hilo,20.0
2,66.29,82.0,6.33,151567.0,TZ,31.04,-5.11,nguruka,100.0
3,86.23,58.0,17.22,5848280.0,US,-159.32,22.08,kapaa,75.0
5,37.18,55.0,19.46,3874787.0,CL,-70.91,-53.16,punta arenas,40.0
6,83.57,76.0,1.25,1300969.0,MM,95.51,18.49,paungde,1.0
7,32.7,93.0,8.95,1485724.0,RU,84.89,55.79,talaya,75.0
8,32.0,96.0,12.75,3833367.0,AR,-68.31,-54.81,ushuaia,75.0
9,87.53,16.0,7.09,2508813.0,DZ,-0.29,27.87,adrar,8.0
10,81.95,72.0,9.75,1282256.0,MV,73.08,-0.6,hithadhoo,2.0
11,79.25,80.0,20.27,4020109.0,PF,-139.03,-9.8,atuona,21.0
12,89.6,46.0,5.82,2068110.0,AU,128.74,-15.77,kununurra,37.0
14,67.91,87.0,13.02,3471451.0,BR,-42.02,-22.97,arraial do cabo,100.0
15,68.45,89.0,11.07,3389673.0,BR,-36.02,-6.22,santa cruz,23.0
16,68.45,90.0,5.91,2258984.0,CG,14.75,-4.35,kinkala,88.0
17,50.0,70.0,17.0,6201424.0,NZ,168.86,-46.19,mataura,70.0
18,85.91,47.0,6.46,1651810.0,TL,125.41,-8.93,airai,0.0
19,79.25,86.0,21.5,2082539.0,ID,140.4,-8.49,merauke,52.0
20,71.15,53.0,6.04,2214433.0,LY,10.98,31.86,nalut,0.0
21,74.95,53.0,6.93,2160063.0,AU,153.24,-28.95,codrington,40.0
22,40.37,83.0,7.16,4031637.0,RU,-170.99,65.58,lavrentiya,100.0
24,31.37,83.0,14.81,2122090.0,RU,170.27,69.7,pevek,100.0
25,64.67,88.0,3.36,6539213.0,IT,15.09,36.72,pachino,0.0
27,65.39,59.0,6.93,2267254.0,PT,-8.45,37.14,lagoa,0.0
28,41.0,56.0,4.7,3423146.0,GL,-51.1,69.22,ilulissat,11.0
