City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,0,AU,1566356075,35,-33.64,115.35,70.0,23.44
1,kauhajoki,0,FI,1566356075,100,62.43,22.18,54.0,5.82
2,rikitea,0,PF,1566356075,78,-23.12,-134.97,72.44,6.55
3,alofi,40,NU,1566356075,74,-19.06,-169.92,82.4,6.93
4,tres pontas,0,BR,1566356076,93,-21.37,-45.51,60.2,2.91
5,bredasdorp,0,ZA,1566356076,93,-34.53,20.04,55.0,4.7
6,hilo,90,US,1566356076,74,19.71,-155.08,82.4,5.82
7,cherskiy,56,RU,1566356076,41,68.75,161.3,70.28,9.95
8,misratah,0,LY,1566356076,71,32.38,15.09,79.82,9.91
9,rio branco,0,BR,1566356076,100,-9.98,-67.82,75.2,4.7
10,ushuaia,0,AR,1566355811,65,-54.81,-68.31,41.0,5.68
11,kapaa,75,US,1566355964,62,22.08,-159.32,87.8,13.87
12,constitucion,75,MX,1566356077,31,23.99,-104.67,75.2,3.36
13,sines,33,PT,1566356077,92,37.96,-8.87,61.0,1.01
14,krasnokamensk,99,RU,1566356077,87,50.1,118.04,58.04,11.81
15,mataura,14,NZ,1566356078,63,-46.19,168.86,55.0,3.0
16,bambous virieux,75,MU,1566356078,78,-20.34,57.76,71.6,18.34
17,touros,40,BR,1566356078,83,-5.2,-35.46,71.6,3.36
18,shingu,75,JP,1566356078,84,33.72,135.99,86.0,3.36
19,puerto ayora,40,EC,1566356078,93,-0.74,-90.35,66.99,4.0
20,salalah,90,OM,1566356079,94,17.01,54.1,77.0,3.36
21,cabo san lucas,5,MX,1566356048,58,22.89,-109.91,89.6,4.7
22,punta arenas,20,CL,1566356079,86,-53.16,-70.91,37.4,11.41
23,mahenge,68,TZ,1566356079,56,-8.68,36.72,66.5,1.39
24,jamestown,100,AU,1566356079,91,-33.21,138.6,51.56,11.54
25,sambava,94,MG,1566356051,95,-14.27,50.17,65.42,3.13
26,ribeira grande,29,PT,1566356080,89,38.52,-28.7,72.62,7.29
27,peleduy,53,RU,1566356080,58,59.63,112.75,65.24,2.26
28,luanda,75,AO,1566355955,94,-8.83,13.24,69.8,4.7
29,buchanan,75,LR,1566356080,94,5.88,-10.05,77.0,10.29
30,port blair,75,IN,1566356080,83,11.67,92.75,82.4,9.17
31,port alfred,0,ZA,1566356080,88,-33.59,26.89,57.0,4.0
32,atuona,33,PF,1566356081,73,-9.8,-139.03,80.9,22.41
33,yabrud,0,SY,1566356081,82,33.97,36.66,68.0,11.41
34,boende,96,CD,1566356081,97,-0.28,20.88,72.08,1.88
35,hithadhoo,100,MV,1566356081,74,-0.6,73.08,82.52,10.92
36,tiksi,100,RU,1566356081,96,71.64,128.87,44.36,4.43
37,hermanus,0,ZA,1566356082,87,-34.42,19.24,55.0,15.01
38,cidreira,100,BR,1566356082,90,-30.17,-50.22,47.96,4.88
39,saint-philippe,1,CA,1566356082,93,45.36,-73.48,72.0,5.14
40,esperance,0,AU,1566356082,48,-33.86,121.89,62.6,17.22
41,bose,75,IT,1566356082,83,45.46,8.01,69.8,3.36
42,airai,0,TL,1566356082,43,-8.93,125.41,84.5,2.39
43,upernavik,100,GL,1566356083,89,72.79,-56.15,42.38,10.67
44,marataizes,94,BR,1566356083,96,-21.04,-40.82,68.3,2.19
45,aklavik,75,CA,1566356083,57,68.22,-135.01,50.0,8.05
46,cayenne,0,GF,1566356083,94,4.94,-52.33,75.2,4.9
47,ponta do sol,0,BR,1566356083,83,-20.63,-46.0,62.0,1.3
48,rochelle,1,US,1566356084,100,41.92,-89.07,70.0,1.39
49,cape town,0,ZA,1566355912,93,-33.93,18.42,54.0,2.24
50,geraldton,5,CA,1566356084,100,49.72,-86.95,55.4,5.82
51,fortuna,1,US,1566356084,68,40.6,-124.16,64.99,8.05
52,castro,90,CL,1566356084,100,-42.48,-73.76,44.6,10.29
53,lovozero,0,RU,1566356085,86,68.01,35.02,52.1,4.21
54,tasiilaq,0,GL,1566356085,80,65.61,-37.64,39.2,2.24
55,yellowknife,75,CA,1566356085,71,62.45,-114.38,53.01,5.82
56,saldanha,100,PT,1566356085,61,41.42,-6.55,61.1,4.88
57,hay river,90,CA,1566356085,55,60.82,-115.79,62.6,13.87
58,garissa,96,KE,1566356086,75,-0.46,39.64,73.16,17.29
59,murwara,100,IN,1566356086,92,23.85,80.4,75.68,5.44
60,butaritari,100,KI,1566356086,70,3.07,172.79,85.58,10.6
61,baft,0,IR,1566356086,15,29.23,56.61,58.22,5.7
62,jos,100,NG,1566356086,98,9.92,8.9,67.4,2.82
63,vaini,40,IN,1566356087,88,15.34,74.49,73.4,4.7
64,toora-khem,100,RU,1566356087,74,52.47,96.11,54.62,4.97
65,daru,98,PG,1566356087,78,-9.07,143.21,76.76,9.98
66,rocha,58,UY,1566356087,87,-34.48,-54.34,35.36,3.78
67,kodiak,1,US,1566356087,88,39.95,-94.76,82.0,3.36
68,sampit,1,ID,1566356088,53,-2.54,112.95,87.74,5.1
69,cananeia,92,BR,1566355898,91,-25.01,-47.93,56.96,3.98
70,ossora,100,RU,1566356088,86,59.24,163.07,53.72,5.01
71,lebu,75,ET,1566356088,82,8.96,38.73,57.2,5.82
72,ostrovnoy,0,RU,1566356088,79,68.05,39.51,54.08,13.15
73,jhusi,100,IN,1566356089,76,25.43,81.91,84.14,5.68
74,takoradi,83,GH,1566356089,93,4.89,-1.75,73.16,4.23
75,nizhniy kuranakh,48,RU,1566356089,55,58.84,125.49,67.58,7.85
76,dubbo,40,AU,1566356089,44,-32.25,148.6,60.8,18.34
77,mazagao,0,BR,1566356089,100,-0.12,-51.29,82.4,10.29
78,vila franca do campo,75,PT,1566356090,94,37.72,-25.43,71.6,4.7
79,tezu,97,IN,1566356090,81,27.93,96.16,81.08,2.21
80,tabou,100,CI,1566356090,92,4.42,-7.36,73.34,5.95
81,saint george,0,GR,1566356090,63,39.45,22.34,64.4,3.36
82,dubrovnik,0,HR,1566355897,88,42.65,18.09,78.8,2.24
83,kihei,40,US,1566355878,62,20.76,-156.45,86.0,23.04
84,georgetown,40,GY,1566355969,94,6.8,-58.16,77.0,2.24
85,batagay-alyta,100,RU,1566356091,74,67.8,130.41,52.82,2.37
86,dingle,100,PH,1566356091,78,11.0,122.67,80.9,2.35
87,albany,1,US,1566355983,78,42.65,-73.75,71.6,1.77
